# x_m,y_m
7.326104352323476121e+00,0.000000000000000000e+00
7.316429985754935750e+00,6.410113765073775782e-02
7.306914315191576748e+00,1.282260174562167010e-01
7.297575866105466602e+00,1.923769389473900249e-01
7.288432014423020355e+00,2.565558832615128515e-01
7.279498852505364326e+00,3.207644938391495670e-01
7.270795895348564741e+00,3.850047082781178909e-01
7.262332280167485443e+00,4.492768831206980784e-01
7.254118892713273148e+00,5.135815055348692537e-01
7.246165355466377633e+00,5.779187806785685000e-01
7.238479454485172049e+00,6.422885782877827410e-01
7.231067065158955032e+00,7.066904516746475018e-01
7.223937307368888838e+00,7.711242263617187342e-01
7.217087198260558445e+00,8.355883218814302849e-01
7.210516177025373175e+00,9.000814586761233249e-01
7.204221998592715615e+00,9.646022028155126771e-01
7.198200412491910782e+00,1.029148963851476362e+00
7.192445202239636792e+00,1.093720031364518119e+00
7.186952467562711000e+00,1.158313960781703456e+00
7.181708826611676422e+00,1.222928585622520492e+00
7.176701293675192161e+00,1.287561937601399586e+00
7.171916398116987779e+00,1.352212158059495462e+00
7.167339140767600369e+00,1.416877419525913506e+00
7.162954843852943121e+00,1.481556057983833163e+00
7.158746318387095187e+00,1.546246373908167326e+00
7.154691530659467169e+00,1.610946510063949511e+00
7.150770493454370325e+00,1.675654894191705546e+00
7.146962356247672510e+00,1.740370025911978757e+00
7.143247424006437640e+00,1.805090577912273231e+00
7.139600450205058735e+00,1.869814996440099408e+00
7.135998202032490134e+00,1.934541921229188111e+00
7.132417489777338915e+00,1.999270041799397601e+00
7.128833699537085344e+00,2.063997991918101960e+00
7.125222228723787410e+00,2.128724402374642999e+00
7.121559301673917375e+00,2.193447919505248311e+00
7.117818134965593124e+00,2.258166958938962576e+00
7.113974375296187702e+00,2.322879981214618361e+00
7.110005583491827430e+00,2.387585451552245885e+00
7.105882804421121968e+00,2.452281289027612665e+00
7.101582922293998124e+00,2.516965586862517590e+00
7.097085873805224487e+00,2.581636472616317235e+00
7.092357374652091373e+00,2.646290840890651364e+00
7.087382240569596981e+00,2.710926681547639827e+00
7.082135911450703425e+00,2.775541074578440792e+00
7.076586827158620530e+00,2.840130155100446530e+00
7.070725859491499676e+00,2.904691673432666654e+00
7.064513491464869510e+00,2.969220318957652260e+00
7.057941784961456300e+00,3.033713333381184540e+00
7.050981612538854471e+00,3.098165580978912370e+00
7.043611168007117840e+00,3.162572172992887953e+00
7.035816792693048605e+00,3.226928840676236643e+00
7.027563215806251762e+00,3.291228202941378189e+00
7.018851411046576061e+00,3.355467087100420631e+00
7.009634109500813004e+00,3.419635367692984929e+00
6.999925067854635863e+00,3.483731085489351287e+00
6.989667403450589234e+00,3.547741276320052872e+00
6.978883873144186900e+00,3.611664964078390661e+00
6.967514368287470283e+00,3.675487019329286564e+00
6.955585255714671788e+00,3.739206833989152212e+00
6.943034305443772425e+00,3.802807070351712948e+00
6.929892090090532086e+00,3.866287751065443867e+00
6.916094855448006840e+00,3.929629272357702430e+00
6.901674553012434821e+00,3.992831840133227672e+00
6.886572316811198746e+00,4.055874909231878434e+00
6.870814313343069912e+00,4.118757257440813113e+00
6.854351986892826432e+00,4.181458864798172748e+00
6.837201329108803627e+00,4.243975694225195383e+00
6.819328530819038114e+00,4.306289872483855419e+00
6.800735154634461210e+00,4.368392854606920395e+00
6.781406379389413708e+00,4.430270859545062834e+00
6.761325347496011773e+00,4.491908851816242887e+00
6.740500152017471436e+00,4.553299389973776812e+00
6.718891896392883645e+00,4.614418704782058178e+00
6.696535096187680836e+00,4.675268209736254121e+00
6.673365659439038922e+00,4.735812938093246771e+00
6.649434160679065897e+00,4.796060472529537044e+00
6.624688798517983201e+00,4.855978286755718187e+00
6.599156480879569742e+00,4.915565003775943076e+00
6.572815192145703200e+00,4.974798504810142852e+00
6.545663023750107889e+00,5.033664727825613028e+00
6.517710806900955944e+00,5.092155273806882043e+00
6.488926075694674722e+00,5.150240650776917839e+00
6.459352405618730586e+00,5.207928367927688207e+00
6.428930443254212257e+00,5.265173254320735019e+00
6.397717199168085678e+00,5.321990510893798820e+00
6.365673623517986712e+00,5.378343611313640693e+00
6.332824228874337713e+00,5.434230821479523854e+00
6.299165860408017181e+00,5.489634556125362330e+00
6.264690233927330709e+00,5.544533495026254144e+00
6.229430070022496047e+00,5.598931888158309000e+00
6.193344525486486951e+00,5.652786312267333635e+00
6.156491132735812499e+00,5.706118208883881771e+00
6.118828691185271396e+00,5.758881844414735163e+00
6.080400959483597489e+00,5.811090740599595073e+00
6.041196146669953748e+00,5.862718625659152138e+00
6.001225350699008310e+00,5.913755812868952688e+00
5.960511534921497656e+00,5.964202265179669560e+00
5.919034389155912734e+00,6.014023034008158852e+00
5.876846164800949346e+00,6.063243149044926561e+00
5.833908201961729212e+00,6.111810593057664498e+00
5.790277162734619232e+00,6.159756337047130437e+00
5.745936021392527238e+00,6.207046106966675580e+00
5.700910383277371096e+00,6.253684651763939506e+00
5.655215141561787284e+00,6.299667325856607825e+00
5.608846799135010386e+00,6.344971218250823775e+00
5.561849794670788327e+00,6.389622682470466053e+00
5.514193724445960676e+00,6.433570064123963483e+00
5.465937713330812464e+00,6.476857790626660005e+00
5.417063619837371391e+00,6.519446419610488874e+00
5.367605808793896927e+00,6.561355788288707025e+00
5.317572884074359685e+00,6.602576850928524976e+00
5.266973249385813460e+00,6.643100315419224522e+00
5.215840658513991812e+00,6.682949231993022821e+00
5.164160132431390160e+00,6.722084951232694117e+00
5.111980789829249971e+00,6.760553091089024136e+00
5.059287567912900130e+00,6.798314258318592707e+00
5.006118288577987130e+00,6.835402126492287067e+00
4.952476613935567151e+00,6.871803396313335810e+00
4.898378313020453234e+00,6.907522575308171930e+00
4.843847294947778437e+00,6.942577619842901449e+00
4.788880023194497682e+00,6.976944625923900745e+00
4.733515219002215169e+00,7.010667522332588497e+00
4.677740240370074076e+00,7.043707621397536478e+00
4.621593099121720449e+00,7.076111240127757718e+00
4.565072714155147260e+00,7.107859340132852921e+00
4.508199444813879353e+00,7.138970917404947159e+00
4.450987495286894635e+00,7.169455218824864140e+00
4.393442218510415387e+00,7.199305594242875195e+00
4.335590412824987361e+00,7.228557531312002737e+00
4.277424929729036762e+00,7.257180709898524817e+00
4.218978575812103671e+00,7.285225917757315095e+00
4.160246262798521499e+00,7.312667234900880331e+00
4.101251912394378252e+00,7.339540616818125862e+00
4.041999796034441594e+00,7.365840783995967200e+00
3.982502795615039837e+00,7.391582232467146518e+00
3.922773804652794460e+00,7.416780715933373180e+00
3.862816742038409856e+00,7.441431674183611733e+00
3.802651139061329122e+00,7.465569224243056468e+00
3.742273806984396600e+00,7.489172212301909326e+00
3.681707609254226909e+00,7.512286277350414210e+00
3.620948561345477934e+00,7.534888560946192193e+00
3.560015968373218875e+00,7.557018746918043206e+00
3.498910122326105210e+00,7.578665957652177987e+00
3.437644014566988204e+00,7.599855392668278142e+00
3.376222230140314640e+00,7.620589240960557120e+00
3.314652787368622455e+00,7.640880472699637771e+00
3.252943363324336978e+00,7.660741927624436620e+00
3.191098138507594495e+00,7.680176452796864339e+00
3.129126886064637514e+00,7.699205291915243166e+00
3.067030893702024308e+00,7.717823090630212768e+00
3.004821221777608464e+00,7.736057450761466114e+00
2.942497037918649472e+00,7.753896528336979621e+00
2.880070048084982126e+00,7.771372460006844562e+00
2.817537919738868801e+00,7.788468399498484906e+00
2.754912435996707654e+00,7.805219151492034158e+00
2.692190471466162638e+00,7.821604958277580621e+00
2.629383016033726594e+00,7.837659968388239307e+00
2.566487442643389461e+00,7.853366240179058266e+00
2.503512997682822760e+00,7.868753244442601158e+00
2.440457645698920430e+00,7.883805265373691640e+00
