# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.22250000000000003, 0.4], "elapsed_s": 68.84690996498102, "export_relative_time_change": -0.020226038907830837, "exported_time_s": 11.50334112774894, "global_optimum_proven": false, "kkt_stationarity": 9.216596923654257e-06, "mesh_checks": [{"dense_normalized_violation": 0.02167510757173594, "dense_time_relative_change": 0.00017802011576368472, "iterations": 39, "samples": 336, "time_s": 11.729208414528397}, {"dense_normalized_violation": 0.005824461986172812, "dense_time_relative_change": 0.00014022956799437876, "iterations": 32, "samples": 377, "time_s": 11.740989811066786}, {"dense_normalized_violation": 0.001342924253240874, "dense_time_relative_change": 0.00013207050485529594, "iterations": 32, "samples": 400, "time_s": 11.742118283153637}, {"dense_normalized_violation": 0.0002595167155455656, "dense_time_relative_change": 0.00013154417923384637, "iterations": 25, "samples": 417, "time_s": 11.742354310545275}, {"dense_normalized_violation": 6.936401990641288e-06, "dense_time_relative_change": 0.00013142942340977614, "iterations": 20, "samples": 421, "time_s": 11.74235452343244}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 2.582783898209609e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_controls": 84, "requested_margin_m": 0.4, "solved_time_s": 11.740811232547951, "solver_message": "Optimization terminated successfully", "status": "converged"}
-4.618534826882098088e+01,-6.292441844876709434e-01,4.992062868117672636e+00,2.732422015115366642e-01
-4.611083464083849748e+01,-6.356283269112470435e-01,5.048485894853202538e+00,2.549515172736796509e-01
-4.603621281648877073e+01,-6.405907559060275425e-01,5.106286765121030413e+00,2.553111798505097729e-01
-4.596150975353103973e+01,-6.441276598302277945e-01,5.163440714133726850e+00,2.400249324118841621e-01
-4.588675521160225657e+01,-6.463231855904074674e-01,5.222257268633224037e+00,2.373111936045556869e-01
-4.581197337391121494e+01,-6.471917984968320603e-01,5.280418810808212626e+00,2.239874085537955639e-01
-4.573718744206089326e+01,-6.468077263751795813e-01,5.340489084487686888e+00,2.191853043051370520e-01
-4.566241775086869126e+01,-6.451979209015596961e-01,5.399891236464055666e+00,2.071164321407533981e-01
-4.558768191993024033e+01,-6.424302567155490973e-01,5.460950944152408226e+00,2.013241246731076461e-01
-4.551299613754726892e+01,-6.385377410097243800e-01,5.521659653987732952e+00,1.900827862936209367e-01
-4.543837319473562530e+01,-6.335839819098096903e-01,5.583485634289704791e+00,1.866851068195151120e-01
-4.536382662560281176e+01,-6.275889170980972764e-01,5.644634517903837967e+00,1.774218026103446533e-01
-4.528936612708368159e+01,-6.206052918525750695e-01,5.706014668977640092e+00,1.755940036321477493e-01
-4.521500370500446309e+01,-6.126444965435247081e-01,5.766741576837485006e+00,1.646570164730274954e-01
-4.514074489768866982e+01,-6.037686326764113431e-01,5.827840451855617054e+00,1.647684265231675327e-01
-4.506660105783262082e+01,-5.939784281139482980e-01,5.888305410698168707e+00,1.530244293270763278e-01
-4.499257409591490386e+01,-5.833403798263242512e-01,5.950229307290364034e+00,1.508907736891322571e-01
-4.491867185669777740e+01,-5.718676690649110439e-01,6.011515393773072979e+00,1.431955636774837892e-01
-4.484489668882029179e+01,-5.596042096622564355e-01,6.073465851791518766e+00,1.366510190265306790e-01
-4.477125065483917155e+01,-5.465874458138522130e-01,6.135378107783906465e+00,1.350363426099626674e-01
-4.469773980625394927e+01,-5.328276161605418615e-01,6.196671834275465862e+00,1.273206395052427775e-01
-4.462436330309692778e+01,-5.183684631274514398e-01,6.258653943992980473e+00,1.248128529861570746e-01
-4.455112493028456555e+01,-5.032250268580640284e-01,6.320028233840567111e+00,1.220052459294214964e-01
-4.447802776339786135e+01,-4.874139767420069824e-01,6.380863870413468142e+00,1.158317533081509310e-01
-4.440507029580385989e+01,-4.709703114550627401e-01,6.442116983609524006e+00,1.125936007211996021e-01
-4.433225384218466303e+01,-4.539128911495726171e-01,6.502842741494025525e+00,1.109227735604937926e-01
-4.425958137860123287e+01,-4.362520098122789625e-01,6.563006655827057223e+00,1.047604026968674551e-01
-4.418704951580078699e+01,-4.180223115919440291e-01,6.623665962872800961e+00,1.012687998399092598e-01
-4.411465777608132299e+01,-3.992438114791933557e-01,6.684126951452219245e+00,9.855684161984343272e-02
-4.404240638882828307e+01,-3.799322380089905082e-01,6.744063124171302270e+00,9.718107793260757910e-02
-4.397029725842327252e+01,-3.600960644160187685e-01,6.803471304310821033e+00,9.364507194711245430e-02
-4.389832882465824326e+01,-3.397553726291803744e-01,6.862786201522130369e+00,9.180581289964129255e-02
-4.382650173829067342e+01,-3.189210363725490938e-01,6.921594290125824500e+00,9.003571526817838455e-02
-4.375481655321257080e+01,-2.976035241644499618e-01,6.979904420662561115e+00,8.833228874484916338e-02
-4.368327373635124644e+01,-2.758129139450718470e-01,7.037398333148980001e+00,8.793810139971074136e-02
-4.361187576850060310e+01,-2.535522656867281732e-01,7.094426329496752004e+00,8.501580124144486605e-02
-4.354062078642554212e+01,-2.308381187268741253e-01,7.151342352606039121e+00,8.347496920088957884e-02
-4.346950899608263796e+01,-2.076795839062266502e-01,7.207794316910542065e+00,8.202252976088442171e-02
-4.339854060123187907e+01,-1.840852709610294735e-01,7.263787291216000419e+00,8.063622326416013120e-02
-4.332771577844813748e+01,-1.600634093890615783e-01,7.319309332380603550e+00,7.937581287076189707e-02
-4.325703479741846280e+01,-1.356215344491159547e-01,7.374351129633135216e+00,7.822770557137677383e-02
-4.318649801337697625e+01,-1.107665632978347275e-01,7.428908761614330558e+00,7.716828728722449626e-02
-4.311610583835025068e+01,-8.550492338697644745e-02,7.482978323163062662e+00,7.619387527291829332e-02
-4.304585874645866994e+01,-5.984257491011076013e-02,7.536555790451379799e+00,7.530134050147617442e-02
-4.297575727936881407e+01,-3.378503021835113640e-02,7.589565218033085259e+00,7.474278264074103728e-02
-4.290580255940074750e+01,-7.336039239355993287e-03,7.642118366300659993e+00,7.385007012261336767e-02
-4.283599498587076226e+01,1.949890916552023470e-02,7.694206773157001855e+00,7.304533267665784535e-02
-4.276633505136071989e+01,4.671480358898136981e-02,7.745782492108512329e+00,7.246132569396325496e-02
-4.269682362884886118e+01,7.430779611045441879e-02,7.796842634502598735e+00,7.193836971443179351e-02
-4.262746166530363467e+01,1.022743638705937430e-01,7.847462486867353704e+00,7.121114203047830549e-02
