# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.17736744634220492, 0.4], "elapsed_s": 161.5242677750066, "export_audit": {"max_axle_friction_ratio": 1.0000000000000007, "maximum_steering_rad": 0.41868479347437454, "minimum_body_clearance_above_reserve_m": 0.0027555567435407213, "normalized_physical_violation": 6.661338147750939e-16, "samples": 3710}, "export_relative_time_change": 0.0012360477770531955, "exported_time_s": 11.56641895024545, "geometry_discretization_reserve_m": 0.003, "global_optimum_proven": false, "kkt_stationarity": 2.1409481977436214e-05, "mesh_checks": [{"dense_normalized_violation": 0.023752284451349154, "dense_time_relative_change": 0.00016772349710896805, "iterations": 83, "samples": 336, "time_s": 11.541114177302292}, {"dense_normalized_violation": 0.006014406611695658, "dense_time_relative_change": 0.00011311278451310575, "iterations": 56, "samples": 384, "time_s": 11.552490575439943}, {"dense_normalized_violation": 0.0013673512489417294, "dense_time_relative_change": 0.00010411020496668622, "iterations": 59, "samples": 405, "time_s": 11.553275816832642}, {"dense_normalized_violation": 4.9149771125062445e-05, "dense_time_relative_change": 0.000103263764840015, "iterations": 62, "samples": 421, "time_s": 11.553330637326205}, {"dense_normalized_violation": 1.6880005631880837e-09, "dense_time_relative_change": 0.00010322832756630953, "iterations": 56, "samples": 427, "time_s": 11.553332584536442}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 1.6880005631880837e-09, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_control_mesh_convergence_tested": false, "path_controls": 84, "requested_margin_m": 0.4, "solved_time_s": 11.552139953335923, "solver_message": "Optimization terminated successfully", "status": "converged"}
-4.618474413377882115e+01,-6.250803507047286711e-01,4.888535757395440662e+00,2.642235042323802241e-01
-4.614488540737514199e+01,-6.283238140373733627e-01,4.923090536806187245e+00,2.597358881805988950e-01
-4.610499527708405054e+01,-6.311530880380178399e-01,4.957519545487809154e+00,2.554993378746711619e-01
-4.606507839901762935e+01,-6.335746377341264779e-01,4.991670502453853686e+00,2.511709510600732553e-01
-4.602513923722357703e+01,-6.355951283999913271e-01,5.025577157517419735e+00,2.467596014682898464e-01
-4.598518205945156012e+01,-6.372214076539113314e-01,5.059249851858643510e+00,2.422739655961505534e-01
-4.594521093404013357e+01,-6.384604878083524060e-01,5.092689856359356781e+00,2.377224860656912686e-01
-4.590522972786572353e+01,-6.393195285746421375e-01,5.125898552353298498e+00,2.331133395631408700e-01
-4.586524210528938994e+01,-6.398058202121795768e-01,5.158877428952376221e+00,2.284544095806913255e-01
-4.582525153459578604e+01,-6.399267672102075810e-01,5.191628074427871553e+00,2.237533004584934537e-01
-4.578526222380796895e+01,-6.396898825041767989e-01,5.224151414736480703e+00,2.190172525889378663e-01
-4.574527648802695268e+01,-6.391027631186413371e-01,5.256449855748204669e+00,2.142531553308684444e-01
-4.570529717283778126e+01,-6.381730687679442182e-01,5.288525296060618608e+00,2.094674984945690821e-01
-4.566532692890416456e+01,-6.369085137315417811e-01,5.320379720721428285e+00,2.046664321535900943e-01
-4.562536821538646592e+01,-6.353168539713802687e-01,5.352015196235647920e+00,1.998557340793590542e-01
-4.558542330387337671e+01,-6.334058750153668260e-01,5.383433865403873142e+00,1.950408087750234165e-01
-4.554549428276091305e+01,-6.311833806165483285e-01,5.414637942046878649e+00,1.902266908147720870e-01
-4.550558306365741856e+01,-6.286571822980374646e-01,5.445708677552479671e+00,1.857354976944554648e-01
-4.546569273926929355e+01,-6.258346812863020414e-01,5.481018603664452371e+00,1.824429224729811616e-01
-4.542582437347217450e+01,-6.227212463002566034e-01,5.516100541498954790e+00,1.794051303441437095e-01
-4.538597918889126248e+01,-6.193218468738086457e-01,5.550895011533456547e+00,1.763361476718528775e-01
-4.534615871239805784e+01,-6.156415342319471184e-01,5.585424930366102103e+00,1.732400551564642899e-01
-4.530636435936911255e+01,-6.116854053569853455e-01,5.619692553150957615e+00,1.701208256673604757e-01
-4.526659743480085041e+01,-6.074585952388853460e-01,5.653700159215746979e+00,1.669823056182376808e-01
-4.522685913470908758e+01,-6.029662693984153554e-01,5.687450051731564926e+00,1.638282494739486672e-01
-4.518715210630645629e+01,-5.982138083488530711e-01,5.720943246959761197e+00,1.606622786340220765e-01
-4.514747753559116461e+01,-5.932064738658059388e-01,5.754181951013794816e+00,1.574878329720241221e-01
-4.510783487429355176e+01,-5.879493201929537616e-01,5.787169747813345921e+00,1.543081632645682821e-01
-4.506822489904157436e+01,-5.824475708540187702e-01,5.819909034274289183e+00,1.511263647399494481e-01
-4.502864828784669982e+01,-5.767064467516459514e-01,5.852402225839216321e+00,1.479454195283603501e-01
-4.498910562270716440e+01,-5.707311605583723635e-01,5.884651754943646118e+00,1.447681850082054023e-01
-4.494959839340514662e+01,-5.645270715658375904e-01,5.916659261020884131e+00,1.415974341173336093e-01
-4.491012950685145455e+01,-5.580997934301201724e-01,5.948425209003366021e+00,1.384357041186674020e-01
-4.487069611230687372e+01,-5.514540009624084860e-01,5.979954646695009757e+00,1.352853563191025177e-01
-4.483129843252859814e+01,-5.445948278585374114e-01,6.011250064703316909e+00,1.322006029246622916e-01
-4.479193661486991118e+01,-5.375272925368692611e-01,6.044912159048028144e+00,1.296978446424593145e-01
-4.475261092385720474e+01,-5.302554928126287370e-01,6.079502267857314735e+00,1.275552739995825802e-01
-4.471332573357703666e+01,-5.227837367673323632e-01,6.113814389522290504e+00,1.254281394030361541e-01
-4.467407896388017718e+01,-5.151151177964810035e-01,6.147854503450407293e+00,1.233123136345345983e-01
-4.463486937363636997e+01,-5.072528357517678277e-01,6.181627704016535496e+00,1.212086551612016339e-01
-4.459569710623637206e+01,-4.992003324966799438e-01,6.215137766736805958e+00,1.191180051700082287e-01
-4.455656225692901984e+01,-4.909610212991161182e-01,6.248388406939676898e+00,1.170412686417888065e-01
-4.451747032660981063e+01,-4.825394731317635966e-01,6.281378695501751430e+00,1.149792216975848852e-01
-4.447841731202419879e+01,-4.739382258803184200e-01,6.314115671083774473e+00,1.129325653358776715e-01
-4.443940204202406363e+01,-4.651603606335677488e-01,6.346603838593512847e+00,1.109018530085917331e-01
-4.440042443271710226e+01,-4.562091650399384135e-01,6.378846691818717218e+00,1.088877056287767403e-01
-4.436148711387677679e+01,-4.470885431417942479e-01,6.410845414805801390e+00,1.068907515070337544e-01
-4.432259215509848360e+01,-4.378022867961772202e-01,6.442601621492798358e+00,1.049114903825268813e-01
-4.428373468678585567e+01,-4.283524956504796144e-01,6.474122500274088310e+00,1.029503302134345544e-01
-4.424491447081383910e+01,-4.187423144270726039e-01,6.505411340355711225e+00,1.010076360005426749e-01
-4.420613342784871946e+01,-4.089754066847247072e-01,6.536469629968352457e+00,9.908387952390448894e-02
-4.416739550023466165e+01,-3.990559643746546259e-01,6.567297222296668124e+00,9.717938956607702350e-02
-4.412869422710414824e+01,-3.889854890962743950e-01,6.597902181814371048e+00,9.533020236836282912e-02
-4.409002922338031283e+01,-3.787669080351292461e-01,6.630324440766049321e+00,9.392194476923768076e-02
-4.405140441196113699e+01,-3.684035822127570414e-01,6.663527681117752621e+00,9.281129557814542241e-02
-4.401282093376985216e+01,-3.578976816370116332e-01,6.696479176701098268e+00,9.173055418250837534e-02
-4.397427371992419864e+01,-3.472496177625732372e-01,6.729188414368234561e+00,9.067438807777661314e-02
-4.393576280657829614e+01,-3.364611228803856546e-01,6.761660327309454210e+00,8.964217485033268429e-02
-4.389729597246802939e+01,-3.255361055789928737e-01,6.793893236423768300e+00,8.863330038952038636e-02
-4.385886684376517763e+01,-3.144744553857471980e-01,6.825897231814320065e+00,8.764715753183954794e-02
-4.382047400239488155e+01,-3.032773823876077079e-01,6.857678048053067243e+00,8.668312683187462397e-02
-4.378212147875253635e+01,-2.919476597705750742e-01,6.889236792776653573e+00,8.574067221811959572e-02
