# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.03728659204552065, 0.214485821643566], "elapsed_s": 267.22774540202226, "export_audit": {"max_axle_friction_ratio": 1.0000000000000082, "maximum_steering_rad": 0.33882085323190164, "minimum_body_clearance_above_reserve_m": 0.002766721944067685, "normalized_physical_violation": 8.215650382226158e-15, "samples": 2160}, "export_relative_time_change": 0.003308593632277015, "exported_time_s": 6.978163140427508, "geometry_discretization_reserve_m": 0.003, "global_optimum_proven": false, "kkt_stationarity": 8.40271868013387e-06, "mesh_checks": [{"dense_normalized_violation": 0.019417143391516484, "dense_time_relative_change": 4.592927090963659e-05, "iterations": 186, "samples": 368, "time_s": 6.95114891988296}, {"dense_normalized_violation": 0.015684555735077585, "dense_time_relative_change": 2.215020624866369e-05, "iterations": 44, "samples": 407, "time_s": 6.954733368411144}, {"dense_normalized_violation": 0.0027926370502104753, "dense_time_relative_change": 1.455140069094873e-05, "iterations": 44, "samples": 434, "time_s": 6.95520190369207}, {"dense_normalized_violation": 8.748488061336106e-05, "dense_time_relative_change": 1.42978268326e-05, "iterations": 47, "samples": 454, "time_s": 6.95524937214508}, {"dense_normalized_violation": 9.19741443628661e-07, "dense_time_relative_change": 1.4285520417603759e-05, "iterations": 44, "samples": 456, "time_s": 6.955250730266575}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 9.393790798110243e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_control_mesh_convergence_tested": false, "path_controls": 92, "requested_margin_m": 0.4, "solved_time_s": 6.955151370890258, "solver_message": "Optimization terminated successfully", "status": "converged"}
4.404012777418516045e+00,9.999453730183700984e+00,6.196241513631566278e+00,2.241265512558364703e-01
4.393305568284965545e+00,9.966222539385949375e+00,6.204932303760411827e+00,2.209819633998892641e-01
4.382854802799315053e+00,9.932908887220063932e+00,6.214439419035020506e+00,2.178044451620348987e-01
4.372657477858857611e+00,9.899516081374761356e+00,6.224731179028151651e+00,2.148978918383619985e-01
4.362710990066442029e+00,9.866047701985214857e+00,6.235685312375183642e+00,2.122519777951313302e-01
4.353013070824445663e+00,9.832507476239266353e+00,6.247193790783746259e+00,2.098575518784475402e-01
4.343561000183524534e+00,9.798896520930345133e+00,6.258018627527526689e+00,2.077066132284600131e-01
4.334352844541036198e+00,9.765217609300798074e+00,6.266124412790024856e+00,2.057922576242501855e-01
4.325387029744174328e+00,9.731473838317093339e+00,6.274213319158926438e+00,2.041086529814454542e-01
4.316661893665010297e+00,9.697666960301038586e+00,6.282287624121182468e+00,2.026509677574086510e-01
4.308176144769420901e+00,9.663799073197210987e+00,6.290349482184530494e+00,2.014153412949112321e-01
4.299928808901388955e+00,9.629872487230150213e+00,6.298400965238661442e+00,2.003911072468523846e-01
4.291918990971916870e+00,9.595888801996647288e+00,6.307823499958173485e+00,1.985985792270474615e-01
4.284145015713640703e+00,9.561850425618333205e+00,6.321483412542799663e+00,1.951013401647656020e-01
4.276603182664517000e+00,9.527760325042576639e+00,6.335125619476984937e+00,1.916302626843922330e-01
4.269289493078483488e+00,9.493620010331937920e+00,6.348755305521196490e+00,1.884057481204933771e-01
4.262200484202782746e+00,9.459432043754626207e+00,6.362377229338220808e+00,1.854207367832129416e-01
4.255333077586791468e+00,9.425199517625516776e+00,6.375995955552467009e+00,1.826693763089245748e-01
4.248684319933301090e+00,9.390924840326029255e+00,6.389616358080465019e+00,1.801468915175946928e-01
4.242250848060431956e+00,9.356606754890400168e+00,6.403244823034653699e+00,1.778497394978941493e-01
4.236030715558812609e+00,9.322249990533364894e+00,6.416885438277915021e+00,1.757755752639600932e-01
